surname_per	name_main
name_per	name_name
relative_main_per	relative_main
addressR_per	address_main
addressR_loc	address_loc
addressR_org	address_main
addressD_per	address_main
addressD_loc	address_loc
email_org	email_main
email_per	email_main
tel_org	tel_main
tel_per	tel_main
cf_org	cf_main
cf_per	cf_main
vat_per	vat_main
vat_org	vat_main
birthDate_per	birthDate_main
birthLoc_per	birthLoc_main
op_per	op_main
deathDate_per	deathDate_main
deathLoc_per	deathLoc_main
docID_per	docID_main
docExpDate_id	docExpDate_main
docIssueDate_id	docIssueDate_main
docIssueLoc_id	docIssueLoc_main
docType_id	docType_main
companyRole_org	companyRole_main
personalRole_per	personalRole_main
docType_id	docType_main
